Year,Satellite Type,Budget (in Billion $),Success Rate (%),Environmental Impact,Duration (in Days),Num_Collaborators,Tech_Maturity,Budget_Per_Day,Money_Efficiency,Mission Type_Unmanned,Technology Used_Nuclear Propulsion,Technology Used_Reusable Rocket,Technology Used_Solar Propulsion,Technology Used_Traditional Rocket,Country_France,Country_Germany,Country_India,Country_Israel,Country_Japan,Country_Russia,Country_UAE,Country_UK,Country_USA,Tech_Budget_Power
2008,Communication,16.2,90.0,Medium,112,3,3.0,0.14336283185840706,627.7777777777778,False,True,False,False,False,False,False,False,False,False,False,False,False,False,48.599999999999994
2018,Communication,29.04,99.0,High,236,2,2.0,0.12253164556962025,807.9545454545455,False,False,False,True,False,False,False,False,False,True,False,False,False,False,58.08
2013,Communication,28.73,54.0,Medium,238,3,1.0,0.1202092050209205,449.2168465019144,False,False,False,False,False,False,False,False,True,False,False,False,False,False,28.73
2010,Spy,37.27,58.0,Low,186,1,1.0,0.1993048128342246,291.011537429568,True,False,False,False,True,False,False,False,False,False,False,True,False,False,37.27
2006,Weather,18.95,91.0,Medium,277,3,2.0,0.06816546762589928,1334.9868073878627,False,False,False,True,False,False,False,True,False,False,False,False,False,False,37.9
2011,Research,22.76,85.0,Low,166,1,3.0,0.1362874251497006,623.6818980667838,True,True,False,False,False,False,False,False,False,False,False,False,False,True,68.28
2011,Spy,9.33,81.0,High,203,3,2.0,0.04573529411764706,1771.0610932475884,False,False,False,True,False,False,True,False,False,False,False,False,False,False,18.66
2012,Weather,6.62,69.0,Low,25,3,2.0,0.25461538461538463,270.9969788519637,True,False,False,True,False,False,False,True,False,False,False,False,False,False,13.24
2024,Navigation,13.25,60.0,Low,341,2,2.0,0.03874269005847953,1548.6792452830189,False,False,False,True,False,False,False,False,True,False,False,False,False,False,26.5
2011,Communication,23.76,66.0,High,107,1,4.0,0.22,300.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,95.04
2014,Research,43.67,92.0,Medium,117,2,1.0,0.3700847457627119,248.59171055644606,True,False,False,False,False,True,False,False,False,False,False,False,False,False,43.67
2007,Spy,42.47,53.0,Low,56,1,2.0,0.7450877192982456,71.13256416293855,False,False,False,True,False,False,False,False,False,False,False,False,True,False,84.94
2023,Communication,11.68,65.0,High,219,1,1.0,0.05309090909090909,1224.3150684931506,True,False,False,False,True,False,False,False,False,False,True,False,False,False,11.68
2024,Research,29.52,73.0,Low,303,3,1.0,0.09710526315789474,751.7615176151761,False,False,False,False,True,False,False,False,False,False,False,False,False,False,29.52
2002,Spy,37.86,90.0,Low,246,1,2.0,0.15327935222672065,587.16323296355,False,False,False,True,False,False,False,False,False,False,False,True,False,False,75.72
2020,Communication,25.79,61.0,Low,208,2,4.0,0.12339712918660287,494.33889104303995,True,False,True,False,False,False,False,True,False,False,False,False,False,False,103.16
2017,Spy,21.53,71.0,Medium,360,2,4.0,0.059639889196675906,1190.478402229447,True,False,True,False,False,False,False,False,False,False,True,False,False,False,86.12
2013,Navigation,4.22,73.0,Medium,155,2,3.0,0.02705128205128205,2698.5781990521327,False,True,False,False,False,False,False,False,False,False,False,False,False,True,12.66
2019,Spy,47.41,75.0,Low,32,1,1.0,1.4366666666666665,52.204176334106734,False,False,False,False,True,False,True,False,False,False,False,False,False,False,47.41
2020,Research,35.59,50.0,High,73,3,2.0,0.480945945945946,103.9617870188255,True,False,False,True,False,False,False,True,False,False,False,False,False,False,71.18
2003,Weather,32.21,95.0,High,147,1,1.0,0.21763513513513513,436.51040049674015,False,False,False,False,True,False,False,False,False,False,True,False,False,False,32.21
